Popularidad;external_id;price;currency;price_per_sqm;expenses;location;neighborhood;province;total_area;covered_area;rooms;bedrooms;bathrooms;parking;publication_url;scraped_at
2651;58275786;320000;USD;355;;Casa en Venta en san Francisco, Villanueva.;San Francisco;Villanueva;900;;3;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-san-francisco-villanueva.-58275786.html?n_src=Listado&n_pills=Parrilla&n_pg=90&n_pos=5;2026-02-10T14:33:59.192078
1319;58260238;199000;USD;358;750000;Avenida Benavídez 500;Los Olmos;Benavidez;555;;5;4;2;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-benavidez-barrio-los-olmos-apta-credito-58260238.html?n_src=Listado&n_pills=Pileta&n_pg=45&n_pos=8;2026-02-10T14:16:58.726668
442;58274963;120000;USD;363;;J .buschiazzo 1100;Don Torcuato;Tigre;330;;5;4;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-don-torcuato-oportunidad-lote-propio-58274963.html?n_src=Listado&n_pills=Pileta&n_pg=15&n_pos=23;2026-02-10T14:05:44.439340
2661;58270666;75000;USD;375;;Ituzaingo Esq. Don Bosco 3800;Don Torcuato;Tigre;200;;2;1;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-local-58270666.html?n_src=Listado&n_pills=Quincho&n_pg=90&n_pos=15;2026-02-10T14:33:59.606565
2964;58319573;298000;USD;377;320000;San Francisco, Villanueva - Lote Interno - Noroeste;San Francisco;Villanueva;790;;5;4;3;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-apto-credito.-lote-interno.-4-dorm.-58319573.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=100&n_pos=21;2026-02-10T14:37:52.733262
1236;58270673;150000;USD;384;;Yerbal 1100;Villa Adelina;San Isidro;390;;3;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-3-amb-coch-jardin-villa-adelina-58270673.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=42&n_pos=12;2026-02-10T14:15:48.760912
1487;58274804;365000;USD;384;500000;Aristóbulo del Valle 4591;San Agustín;Benavidez;950;;5;4;2;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-ambientes-de-diseno-a-laguna-barrio-58274804.html?n_src=Listado&n_pills=Pileta&n_pg=50&n_pos=27;2026-02-10T14:18:48.615905
3205;58318598;385000;USD;385;9000000;Barrio Privado San Benito;Tigre;GBA Norte;1000;;6;4;3;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-a-la-laguna-en-san-benito-villanueva-58318598.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=109&n_pos=3;2026-02-10T14:41:22.764642
550;58272449;310000;USD;387;;San Rafael al 100;San Rafael;Villanueva;800;;4;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-de-3-dorm.-en-san-rafael-58272449.html?n_src=Listado&n_pills=Parrilla&n_pg=19&n_pos=11;2026-02-10T14:07:17.548400
715;58268801;120000;USD;387;;Martínez Castro 800;Parque Avellaneda;Capital Federal;310;;6;6;4;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-local-refaccionar-en-parque-avellaneda-58268801.html?n_src=Listado&n_pills=Terraza&n_pg=24&n_pos=28;2026-02-10T14:09:05.481240
2999;58310775;350000;USD;388;;Estanislao del Campo 600;General Pacheco;Tigre;900;;5;3;4;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-chalet-en-venta-en-el-talar-de-pacheco-general-58310775.html?n_src=Listado&n_pills=Terraza&n_pg=101&n_pos=26;2026-02-10T14:38:17.427721
2410;58272785;160000;USD;394;;Vieytes al 417;Troncos del Talar;Tigre;406;;5;4;1;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-chalet-con-pileta-y-gran-terreno-en-troncos-del-talar-58272785.html?n_src=Listado&n_pills=Parrilla&n_pg=82&n_pos=4;2026-02-10T14:30:52.765380
3033;58313215;390000;USD;396;550000;Boulevard de Todos los Santos 5700;Santa Clara;Villanueva;984;;5;4;6;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-amb-interno-santa-clara-villanueva-58313215.html?n_src=Listado&n_pills=SUM&n_pg=103&n_pos=8;2026-02-10T14:39:03.253499
1518;58263949;318000;USD;397;450000;Venta Casa 5 Amb. Apta Credito Barrio San Agustin Villanueva Tigre;San Agustín;Villanueva;800;;5;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-amb.-apta-credito-barrio-san-agustin-58263949.html?n_src=Listado&n_pills=Encargado&n_pg=51&n_pos=28;2026-02-10T14:19:08.551960
1311;58264285;330000;USD;398;385000;Barrio Cerrado San Rafael;San Rafael;Villanueva;829;;4;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-san-rafael-villanueva-58264285.html?n_src=Listado&n_pills=Luminoso&n_pg=44&n_pos=30;2026-02-10T14:16:36.751126
1369;58273944;360000;USD;400;;Venta Casa 5 Amb a La Laguna Barrio San Agustín Villanueva Tigre;San Agustín;Villanueva;900;;5;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-amb-a-la-laguna-barrio-san-agustin-58273944.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=46&n_pos=28;2026-02-10T14:17:22.525557
2139;58279615;199000;USD;400;;Unanué 5500;Villa Lugano;Capital Federal;497;;6;4;2;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-4-dorm.-lote-propio-villa-lugano-58279615.html?n_src=Listado&n_pills=SUM&n_pg=72&n_pos=29;2026-02-10T14:27:09.969212
2691;58310719;360000;USD;400;230000;BC San Agustín 4500;San Agustín;Villanueva;900;;4;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-ubicado-en-villa-nueva-zona-norte-58310719.html?n_src=Listado&n_pills=Pileta&n_pg=91&n_pos=15;2026-02-10T14:34:22.544026
1230;58284983;345000;USD;410;;San Isidro Labrador - Lote Interno;San Isidro Labrador;Villanueva;840;;5;3;3;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-lote-interno.-apta-credito.-3-dorm.-en-p.-b.-y-58284983.html?n_src=Listado&n_pills=Luminoso&n_pg=42&n_pos=6;2026-02-10T14:15:48.547155
2221;58314082;365000;USD;410;750000;SAN Isidro Labrador Villanueva Tigre;San Isidro Labrador;Villanueva;890;;6;4;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-san-isidro-labrador-villanueva-en-venta-58314082.html?n_src=Listado&n_pills=Quincho&n_pg=75&n_pos=23;2026-02-10T14:28:15.120733
2604;58286456;355000;USD;412;300000;Barrio Santa Teresa;Villanueva;Tigre;860;;5;4;4;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-4-dorm.-4-banos-245-m-sup2--58286456.html?n_src=Listado&n_pills=Pileta&n_pg=88&n_pos=18;2026-02-10T14:33:15.377215
2127;58293935;285000;USD;414;800000;Tagle 6498, zela;Tigre;GBA Norte;687;;4;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-c-cochera-en-san-sebastian-58293935.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=72&n_pos=17;2026-02-10T14:27:09.533675
1479;58309282;125000;USD;416;;Tomkinson 1518 san Isidro;San Isidro;San Isidro;300;;5;5;3;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-58309282.html?n_src=Listado&n_pills=Parrilla&n_pg=50&n_pos=19;2026-02-10T14:18:48.329242
2560;58302437;125000;USD;416;;Avenida Bernardo Ader 2100;Munro;Vicente López;300;;3;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-3-ambientes-con-jardin-en-venta-en-munro-58302437.html?n_src=Listado&n_pills=Parrilla&n_pg=87&n_pos=4;2026-02-10T14:32:49.406794
1773;58282379;340000;USD;417;;Casa en Venta en San Gabriel, Villanueva;San Gabriel;Villanueva;815;;5;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-san-gabriel-58282379.html?n_src=Listado&n_pills=Parrilla&n_pg=60&n_pos=14;2026-02-10T14:22:30.635394
2991;58316361;180000;USD;424;;Pedro Arata 1500;Don Torcuato;Tigre;424;;4;2;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-con-local-jardin-y-cochera-don-torcuato-58316361.html?n_src=Listado&n_pills=Parrilla&n_pg=101&n_pos=18;2026-02-10T14:38:17.043748
2253;58267800;300000;USD;428;500000;Aristobulo del Valle al 4500;San Agustín;Villanueva;700;;4;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-muy-linda-casa-en-alquiler-temporal-en-san-agustin-58267800.html?n_src=Listado&n_pills=Parrilla&n_pg=76&n_pos=27;2026-02-10T14:28:35.490137
2848;58276396;420000;USD;428;;CASA EN VENTA EN SAN ISIDRO LABRADOR . VILLANUEVA.;San Isidro Labrador;Villanueva;980;;4;3;3;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-venta-4-ambientes-barrio-san-isidro-labrador-58276396.html?n_src=Listado&n_pills=SUM&n_pg=96&n_pos=25;2026-02-10T14:36:19.397263
409;58309962;2000000;USD;9090;;Ramsay al 2000;Belgrano C;Belgrano;220;;5;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-piso-en-venta-torre-forum-alcorta-impactante-vista-al-58309962.html?n_src=Listado&n_pills=Parrilla&n_pg=14&n_pos=19;2026-02-10T14:57:51.235330
301;58263709;160000;USD;432;;Virrey Loreto 3900;Carapachay;Vicente López;370;;4;3;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-comoda-casa-en-venta-58263709.html?n_src=Listado&n_pills=Parrilla&n_pg=11&n_pos=2;2026-02-10T14:04:11.036047
1776;58296569;152000;USD;434;;Ruperto Mazza 1000;Tigre;Tigre;350;;5;4;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-ambientes-tigre-c-jardin-y-garage-58296569.html?n_src=Listado&n_pills=SUM&n_pg=60&n_pos=17;2026-02-10T14:22:30.804283
1679;58295768;205000;USD;438;;Casa en Venta en Rincón de Milberg 3 dormitorios, Anibal Gonzales 100;Rincón de Milberg;Tigre;467;;4;3;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-chalet-en-venta-en-rincon-de-milberg-tigre-g.-58295768.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=57&n_pos=10;2026-02-10T14:21:22.259865
2512;58298682;54000;USD;439;;Paraje Parque Lujan 0;Dique Luján;Tigre;123;;2;1;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-en-lote-propio-de-2800-m-tigre-58298682.html?n_src=Listado&n_pg=85&n_pos=16;2026-02-10T14:32:02.288183
1672;58275839;360000;USD;442;;Casa en Venta Sobre Lote Interno en San Francisco - Villanueva.;San Francisco;Villanueva;813;;5;3;4;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-lote-interno-en-san-francisco-58275839.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=57&n_pos=3;2026-02-10T14:21:22.010215
1005;58283547;440000;USD;449;600000;Dean Funes al 200;San Benito;Villanueva;978;;4;4;4;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-impecable-casa-a-la-laguna-san-benito-58283547.html?n_src=Listado&n_pills=Luminoso&n_pg=34&n_pos=18;2026-02-10T14:12:50.202577
1289;58275810;370000;USD;450;;Casa en Venta - Una Planta - Santa Catalina, Villanueva.;Santa Catalina;Villanueva;822;;5;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-en-santa-catalina-una-planta-58275810.html?n_src=Listado&n_pills=Pileta&n_pg=44&n_pos=8;2026-02-10T14:16:35.888748
1630;58301338;360000;USD;450;;Chile;Don Torcuato;Tigre;800;;7;5;3;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcapa-dueno-directo-vende-importante-casa-en-don-torcuato-58301338.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=55&n_pos=20;2026-02-10T14:20:35.739844
1392;58269369;104999;USD;452;;Juan Crisol 1800;Victoria;San Fernando;232;;3;4;2;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-3-ambientes-y-dpto-en-fondo-victoria-58269369.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=47&n_pos=21;2026-02-10T14:17:44.468926
820;58260437;139900;USD;454;;Dean Funes 1000;Villa Adelina;San Isidro;308;;6;5;2;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-a-reciclar-dos-plantas-sobre-lote-de-308-m-sup2-58260437.html?n_src=Listado&n_pills=Terraza&n_pg=28&n_pos=13;2026-02-10T14:10:31.435046
3002;58310718;430000;USD;454;10000;Dean Funes 5500;Santa Catalina;Villanueva;946;;4;3;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-ubicado-en-santa-catalina-villanueva-58310718.html?n_src=Listado&n_pills=Pileta&n_pg=101&n_pos=29;2026-02-10T14:38:17.549029
2300;58270671;180000;USD;456;;Fray Cayetano Rodríguez 1100;Villa Adelina;San Isidro;394;;5;4;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-5-amb-fdo-lib-c-coch-villa-adelina-san-isidro-58270671.html?n_src=Listado&n_pills=Terraza&n_pg=78&n_pos=14;2026-02-10T14:29:18.876619
240;58278053;1350000;USD;8881;1400000;Excelente 3 Amb con Dependencia. Alvear Tower Vistas al Dique y Rio, con Cochera y Baulera, Puerto Madero;Puerto Madero;Capital Federal;152;;3;2;3;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-puerto-madero-58278053.html?n_src=Listado&n_pills=Encargado&n_pg=8&n_pos=30;2026-02-10T14:55:36.899671
1842;58272460;370000;USD;462;320000;Barrio San Francisco al 200;San Francisco;Villanueva;800;;5;4;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-san-francisco-sobre-lote-interno-58272460.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=62&n_pos=24;2026-02-10T14:23:17.372939
229;58264577;1350000;USD;8709;1200000;Oceana Torre Sur - Vista Norte - 3 Ambientes - 156 m² - Oceana Puerto Madero. Cochera + Baulera - Juana Manso al 1400;Puerto Madero;Capital Federal;155;;3;2;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-alquiler-oceana-puerto-madero-58264577.html?n_src=Listado&n_pills=Parrilla&n_pg=8&n_pos=19;2026-02-10T14:55:36.497144
2698;58311450;99900;USD;480;;General Balcarce 600;Villa Martelli;Vicente López;208;;4;3;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-sin-expensas-con-terraza-y-balcon-58311450.html?n_src=Listado&n_pills=Terraza&n_pg=91&n_pos=22;2026-02-10T14:34:22.870681
1288;58298798;210000;USD;482;;Ituzaingó 1100;Don Torcuato;Tigre;435;;7;4;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-4-dorm.-pileta-jardin-don-torcuato-58298798.html?n_src=Listado&n_pills=Quincho&n_pg=44&n_pos=7;2026-02-10T14:16:35.851583
1511;58275821;370000;USD;486;;Casa en Venta en san Gabriel Villanueva - Lote Interno;San Gabriel;Villanueva;761;;7;3;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-san-gabriel-villanueva-apto-credito-58275821.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=51&n_pos=21;2026-02-10T14:19:08.303345
1025;58296592;259000;USD;487;525000;Avenida Alvear 100;Barrio Cerrado Alvear de Benavidez;Benavidez;531;;4;3;2;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-alv-de-benavidez-4-amb-pileta-1-planta-58296592.html?n_src=Listado&n_pills=Parrilla&n_pg=35&n_pos=9;2026-02-10T14:13:11.879370
93;58301001;44000;USD;488;;Ecoturístico Cornamusa;San Fernando;GBA Norte;90;;5;3;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-3-dorm.-1-bano-san-fernando-58301001.html?n_src=Listado&n_pills=Luminoso&n_pg=4&n_pos=4;2026-02-10T14:01:28.829444
2129;58294745;473000;USD;488;;San Agustin al 100;San Agustín;Villanueva;968;;6;4;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-san-agustin-58294745.html?n_src=Listado&n_pills=Luminoso&n_pg=72&n_pos=19;2026-02-10T14:27:09.611336
2664;58309431;473000;USD;488;;Casa a la Venta en Barrio San Agustin, Villanueva;San Agustín;Villanueva;968;;6;4;3;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-barrio-san-agustin-villanueva-58309431.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=90&n_pos=18;2026-02-10T14:33:59.727324
2822;58310233;320000;USD;492;600000;La Reconquista al 2400, Rincón de Milberg;Boat Center;Rincón de Milberg;650;;4;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-boat-center-58310233.html?n_src=Listado&n_pills=Encargado&n_pg=95&n_pos=29;2026-02-10T14:35:54.570602
1682;58272166;155000;USD;493;;Plumerillos al 1400;Boulogne Sur Mer;San Isidro;314;;10;5;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-de-casa-en-boulogne-sur-mer-58272166.html?n_src=Listado&n_pills=Pileta&n_pg=57&n_pos=13;2026-02-10T14:21:22.367025
1408;58276214;220000;USD;495;400000;Colombia 1400;El Talar;Tigre;444;;4;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-3-dorm.-barrio-parque-el-talar-58276214.html?n_src=Listado&n_pills=Parrilla&n_pg=48&n_pos=7;2026-02-10T14:18:07.061580
3062;58310972;419000;USD;498;;Santa Rita 1500;Santa Rita;San Isidro;840;;4;3;3;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-quinta-en-venta-en-santa-rita-san-isidro-g.-b.-58310972.html?n_src=Listado&n_pills=Parrilla&n_pg=104&n_pos=7;2026-02-10T14:39:28.062628
642;58271699;420000;USD;500;;Santa Rita 1513;Lomas de San Isidro;San Isidro;840;;;3;3;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-santa-rita-58271699.html?n_src=Listado&n_pills=Pileta&n_pg=22&n_pos=13;2026-02-10T14:08:24.190966
1292;58264122;310000;USD;503;400000;Venta Casa 6 Amb Barrio Alvear de Benavidez Tigre;Barrio Cerrado Alvear de Benavidez;Benavidez;616;;6;4;2;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-6-amb-con-piscina-barrio-alvear-de-58264122.html?n_src=Listado&n_pills=Luminoso&n_pg=44&n_pos=11;2026-02-10T14:16:35.996651
2935;58312896;158000;USD;504;;Besares al 1600;San Fernando;GBA Norte;313;;4;3;2;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-ph-tipo-casa-4-amb-en-2-plantas-san-fernando-58312896.html?n_src=Listado&n_pills=Quincho&n_pg=99&n_pos=22;2026-02-10T14:37:27.923063
1324;58273947;165000;USD;507;;Casas de San Patricio Villa Nueva;Villanueva;Tigre;325;;4;3;1;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-casas-de-san-patricio-villa-nueva-58273947.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=45&n_pos=13;2026-02-10T14:16:58.900530
1172;58295551;255000;USD;510;;Barrancas de Santa María - Lote Perimetral;Barrancas de Santa María;General Pacheco;500;;6;3;2;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-apto-credito.-3-dorm.-58295551.html?n_src=Listado&n_pills=Parrilla&n_pg=40&n_pos=6;2026-02-10T14:15:03.451794
2680;58314225;70000;USD;518;;Corrales 1730;Pompeya;Capital Federal;135;;3;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-a-refaccion-total-58314225.html?n_src=Listado&n_pg=91&n_pos=4;2026-02-10T14:34:22.145254
2752;58298910;470000;USD;519;550000;Avenida Italia 5000;Benavidez;Tigre;905;;5;4;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5amb-b.-san-isidro-labrador-dique-lujan-58298910.html?n_src=Listado&n_pills=SUM&n_pg=93&n_pos=19;2026-02-10T14:35:10.570279
39;58291434;2000000;USD;8620;1800000;Av Cerviño al 4600;Palermo Nuevo;Palermo;232;;5;3;5;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-exclusivo-piso-alto-de-232-m-sup2--con-terrazas-y-58291434.html?n_src=Listado&n_pills=Luminoso&n_pg=2&n_pos=9;2026-02-10T14:53:31.048275
705;58272100;240000;USD;527;;Ingeniero Luis Silveyra 3600;Carapachay;Vicente López;455;;4;3;3;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-multifamiliar-con-pileta-carapachay-58272100.html?n_src=Listado&n_pills=Parrilla&n_pg=24&n_pos=18;2026-02-10T14:09:05.118122
1574;58278234;395000;USD;527;;San Isidro Labrador Villanueva;San Isidro Labrador;Villanueva;749;;5;3;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-con-3-dorm.-en-lote-interno-en-58278234.html?n_src=Listado&n_pills=Terraza&n_pg=53&n_pos=24;2026-02-10T14:19:50.130316
130;58274229;1300000;USD;8280;1340000;Austria al 1900;Recoleta;Capital Federal;157;;4;3;3;3;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-nuevo-ingreso-torre-deco-austria-4amb-dep-2cocheras-58274229.html?n_src=Listado&n_pills=Laundry&n_pg=5&n_pos=10;2026-02-10T14:54:32.670600
1191;58301637;199000;USD;537;;Saraza 5200;Villa Lugano;Capital Federal;370;;5;4;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-multifamiliar-5amb-c-fondo-libre-en-venta-58301637.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=40&n_pos=25;2026-02-10T14:15:04.196361
3103;58317268;445000;USD;542;;Venta Casa Barrio Santa Clara al Agua - Lote 820mts;Villanueva;Tigre;820;;7;4;3;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-barrio-santa-clara-lote-de-820-al-agua-58317268.html?n_src=Listado&n_pills=Pileta&n_pg=105&n_pos=18;2026-02-10T14:39:52.669902
728;58281447;210000;USD;545;;Carlos Casares al 1900;Victoria;San Fernando;385;;4;2;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-victoria-con-gran-lote-propio-58281447.html?n_src=Listado&n_pills=Quincho&n_pg=25&n_pos=11;2026-02-10T14:09:29.887418
